rank;title;year;linkMeta;rating;duration;genre;metadate;summarytext
1;The Shawshank Redemption;1994;Frank Darabont (dir.), Tim Robbins, Morgan Freeman;8.8;2h22min;Drama;['A', '|', '2h', '22min', '|', 'Drama', '|', '14', 'October', '1994', '(USA)'];Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
2;The Godfather;1972;Francis Ford Coppola (dir.), Marlon Brando, Al Pacino;8.8;2h55min;Crime;['A', '|', '2h', '55min', '|', 'Crime', ',', 'Drama', '|', '24', 'March', '1972', '(USA)'];The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3;The Godfather: Part II;1974;Francis Ford Coppola (dir.), Al Pacino, Robert De Niro;8.8;2h30min;Drama;['3h', '22min', '|', 'Crime', ',', 'Drama', '|', '20', 'December', '1974', '(USA)'];The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
4;The Dark Knight;2008;Christopher Nolan (dir.), Christian Bale, Heath Ledger;8.8;2h32min;Action;['UA', '|', '2h', '32min', '|', 'Action', ',', 'Crime', ',', 'Drama', '|', '18', 'July', '2008', '(India)'];When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.
5;12 Angry Men;1957;Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb;8.8;2h15min;Drama;['1h', '36min', '|', 'Crime', ',', 'Drama', '|', 'April', '1957', '(USA)'];A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6;Schindler's List;1993;Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes;8.8;3h15min;Biography;['A', '|', '3h', '15min', '|', 'Biography', ',', 'Drama', ',', 'History', '|', '4', 'February', '1994', '(USA)'];In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.
7;The Lord of the Rings: The Return of the King;2003;Peter Jackson (dir.), Elijah Wood, Viggo Mortensen;8.8;3h21min;Action;['PG-13', '|', '3h', '21min', '|', 'Action', ',', 'Adventure', ',', 'Drama', '|', '6', 'February', '2004', '(India)'];Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8;Pulp Fiction;1994;Quentin Tarantino (dir.), John Travolta, Uma Thurman;8.8;2h34min;Crime;['A', '|', '2h', '34min', '|', 'Crime', ',', 'Drama', '|', '14', 'October', '1994', '(USA)'];The lives of two mob hit-men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
9;Il buono, il brutto, il cattivo;1966;Sergio Leone (dir.), Clint Eastwood, Eli Wallach;8.8;3h15min;Crime;['2h', '41min', '|', 'Western', '|', '23', 'December', '1966', '(Italy)'];A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10;Fight Club;1999;David Fincher (dir.), Brad Pitt, Edward Norton;8.8;2h22min;Drama;['A', '|', '2h', '22min', '|', 'Drama', '|', '14', 'October', '1994', '(USA)'];Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
